Latitud;Longitud;LCOEnet;LCOEgross;TIR;Payback;Payback_simple;BCratio;CAPEX_USD;CashFlow_USD;NPV_USD;PV_kWdc;BESS_kWh;BESS_inverter_kW;PV_inverter_kW;Load_kWh;Grid_import_kWh;Grid_export_kWh;BESS_charge_kWh;BESS_discharge_kWh;PV_generated_kWh;PV_used_kWh;PV_clipping_kWh
10,392836;-75,065076;-356,8748077;163,944565;31,66715308;3,738051174;3,14496842;3,192803947;11045221,92;3512029,517;31391244,84;10775,6076;24519,93645;4075,287565;6075,287565;8760000;0;5964709,054;8235819,342;7643289,779;16505224,45;15317238,62;1187985,832
4,404112;-73,946473;-347,4039163;166,1128763;30,75189214;3,86412919;3,236585983;3,102425715;11179919,09;3454232,068;30558170,98;11463,78162;23847,88786;3758,257508;5758,257508;8760000;0;5171198,166;7768028,93;7214748,237;15426907,22;14484478,86;942428,3617
10,149883;-73,962703;-357,0461733;163,627932;31,73020277;3,72966185;3,138841662;3,199036034;11021443,24;3511309,085;31406318,41;10881,4051;24238,65918;3983,321953;5983,321953;8760000;0;5989855,093;8172682,657;7590645,69;16397408,07;15331892,06;1065516,009
5,976646;-74,587782;-360,7146808;162,3619188;32,155796;3,673983488;3,098082756;3,241123099;10940242,43;3531294,447;31729005,84;10452,06776;24725,22118;4076,046708;6076,046708;8760000;0;5997452,975;8268359,001;7673369,002;15891612,3;15352442,97;539169,3257
3,821351;-76,523329;-348,4817708;166,8619045;30,7249178;3,86797112;3,239364382;3,099764769;11227759,13;3466037,718;30652980,68;11867,52898;23245,61795;3702,347673;5702,347673;8760000;0;5582938,218;7798112,933;7242853,925;15590060,7;14898197,23;691863,4739
5,264873;-76,558571;-333,8310445;173,7958882;28,86577404;4,152000033;3,442590096;2,916776991;11699345;3398413,599;29364280,76;13035,60179;22711,36069;4104,572319;6104,572319;8760000;0;5026980,905;7548605,081;7011293,567;14948916,58;14324292,42;624624,1654
8,389604;-73,38004;-352,3003195;165,937056;31,08022269;3,817956339;3,203132789;3,134827135;11178038,56;3489720,626;30988865,97;11186,4672;24244,86219;4097,743273;6097,743273;8760000;0;5838006,524;8133675,029;7552799,994;16075275,54;15178881,56;896393,9844
5,500898;-73,332804;-358,5819871;161,0958984;32,22108429;3,665585917;3,091920757;3,247582448;10846489,49;3508010,179;31541410,9;10692,08165;23969,72705;3748,063094;5748,063094;8760000;0;5745575,675;7951478,673;7379768,18;16405722,66;15077286,17;1328436,487
1,570226;-75,326093;-343,575294;166,6745756;30,42381826;3,911368467;3,270693451;3,070072978;11216470,05;3429385,913;30221399,6;11941,97118;23015,11981;3747,67073;5747,67073;8760000;0;4786396,983;7409750,159;6881943,903;14855384,63;14074203,24;781181,3888
10,857086;-74,776923;-355,4629057;163,1706667;31,69279548;3,734634769;3,142473865;3,195338454;10989730,36;3497158,873;31267051,81;10931,35285;24013,48327;3940,097138;5940,097138;8760000;0;5852706,975;8082950,427;7501725,521;16876316,62;15193931,88;1682384,743
10,18825;-74,9154;-358,2500509;163,194236;31,87162982;3,710977177;3,125182457;3,21301803;10993692,75;3517776,292;31512213,29;10637,67816;24609,17553;4013,479463;6013,479463;8760000;0;5993088,976;8252958,189;7659136,464;16433093,73;15346910,7;1086183,03
7,938572;-72,604717;-355,4829498;163,4198792;31,65931285;3,739096969;3,145731901;3,19202904;11005755,12;3498630,992;31268814,92;10869,33012;24227,59588;3917,263317;5917,263317;8760000;0;5696370,941;7974730,901;7407290,467;15694429,02;15023811,37;670617,642
