Hour,Pb,Ppv,Pd,Ppvmax,Ps,Pc,SOC,SpotPrice,npv
7870,0.0,0.0,2000.0,0.0,1000.0,0.0,12555.481478211948,952.4438721,30259297.804085962
7871,0.0,0.0,1000.0,0.0,0.0,0.0,11516.412484030734,912.4438721,30259297.804085962
7872,0.0,0.0,1000.0,0.0,0.0,0.0,10477.34348984952,883.4438721,30259297.804085962
7873,0.0,0.0,1000.0,0.0,0.0,0.0,9438.274495668305,692.5104246,30259297.804085962
7874,0.0,0.0,1000.0,0.0,0.0,0.0,8399.205501487091,686.0394246,30259297.804085962
7875,0.0,0.0,1000.0,0.0,0.0,0.0,7360.136507305878,686.0394246,30259297.804085962
7876,0.0,0.0,1000.0,0.0,0.0,0.0,6321.067513124664,686.0394246,30259297.804085962
7877,0.0,0.0,1000.0,0.0,0.0,0.0,5281.998518943451,696.0394246,30259297.804085962
7878,0.0,0.0,1000.0,0.0,0.0,0.0,4242.929524762238,646.0394246,30259297.804085962
7879,0.0,0.0,1000.0,0.0,0.0,0.0,3203.8605305810242,646.0394246,30259297.804085962
7880,0.0,0.0,1000.0,0.0,0.0,0.0,2164.7915363998104,636.0394246,30259297.804085962
7881,0.0,0.0,1000.0,0.0,0.0,0.0,1125.7225422185968,313.7534246,30259297.804085962
7882,0.0,1922.7204338902902,0.0,1922.7204338902902,0.0,922.7204338902902,2013.7486877946212,296.0394246,30259297.804085962
7883,0.0,3536.3163609655267,0.0,3536.3163609655267,0.0,2536.3163609655267,4454.699553587852,296.0394246,30259297.804085962
7884,0.0,5314.645065833669,0.0,5314.645065833669,372.7902788021893,3941.854787031461,8248.340600626943,626.7834246,30259297.804085962
7885,0.0,5580.644190714176,0.0,5580.644190714176,665.9073804669606,3914.7368102471996,12015.883306808848,636.0394246,30259297.804085962
7886,0.0,4996.880077526481,0.0,4996.880077526481,55.02529049501754,3941.854787031461,15809.524353847926,636.0394246,30259297.804085962
7887,0.0,4549.104418038491,0.0,4549.104418038491,0.0,3549.104418038478,19225.18244576815,636.0394246,30259297.804085962
7888,0.0,3665.793306996892,0.0,3665.793306996892,1000.0,1665.7933069968922,20828.341924421955,646.0394246,30259297.804085962
7889,0.0,2582.280109862229,0.0,2582.280109862229,1000.0,582.280109862229,21388.72830215334,776.0394246,30259297.804085962
7890,0.0,1102.9409593351104,0.0,1102.9409593351104,102.94095933510107,0.0,21388.728302153344,776.0394246,30259297.804085962
7891,0.0,0.0,2000.0,0.0,1000.0,0.0,19310.59031379092,936.0394246,30259297.804085962
7892,0.0,0.0,2000.0,0.0,1000.0,0.0,17232.45232542849,936.0394246,30259297.804085962
7893,0.0,0.0,2000.0,0.0,1000.0,0.0,15154.314337066062,936.0394246,30259297.804085962
7894,0.0,0.0,2000.0,0.0,1000.0,0.0,13076.176348703635,881.0394246,30259297.804085962
7895,0.0,0.0,1000.0,0.0,0.0,0.0,12037.107354522417,776.0394246,30259297.804085962
7896,0.0,0.0,1501.1167433611977,0.0,501.11674336119756,0.0,10477.343489849518,776.0394246,30259297.804085962
7897,0.0,0.0,1000.0,0.0,0.0,0.0,9438.274495668304,656.4704237,30259297.804085962
7898,0.0,0.0,1000.0,0.0,0.0,0.0,8399.205501487091,656.4704237,30259297.804085962
7899,0.0,0.0,1000.0,0.0,0.0,0.0,7360.136507305878,646.4704237,30259297.804085962
7900,0.0,0.0,1000.0,0.0,0.0,0.0,6321.067513124664,646.4704237,30259297.804085962
7901,0.0,0.0,1000.0,0.0,0.0,0.0,5281.998518943451,646.4704237,30259297.804085962
7902,0.0,0.0,1000.0,0.0,0.0,0.0,4242.929524762238,646.4704237,30259297.804085962
7903,0.0,0.0,1000.0,0.0,0.0,0.0,3203.8605305810242,616.4704237,30259297.804085962
7904,0.0,0.0,1000.0,0.0,0.0,0.0,2164.7915363998104,156.4704237,30259297.804085962
7905,0.0,0.0,1000.0,0.0,0.0,0.0,1125.7225422185968,156.4704237,30259297.804085962
7906,0.0,1867.586134684731,0.0,1867.586134684731,0.0,867.586134684731,1960.6874382391688,156.4704237,30259297.804085962
7907,0.0,3372.90606503357,0.0,3372.90606503357,0.0,2372.90606503357,4244.372235227493,156.4704237,30259297.804085962
7908,0.0,4966.445620037519,0.0,4966.445620037519,24.590833006077446,3941.854787031461,8038.013282266553,156.4704237,30259297.804085962
7909,0.0,5547.956195739726,0.0,5547.956195739726,606.1014087082876,3941.854787031461,11831.654329305631,301.2064237,30259297.804085962
7910,0.0,5647.656939290366,0.0,5647.656939290366,855.6446936360444,3792.0122456543218,15481.08691452333,616.4704237,30259297.804085962
7911,0.0,5266.858456467216,0.0,5266.858456467216,1000.0,3266.8584564672155,18625.111493027274,646.4704237,30259297.804085962
7912,0.0,4078.77570478245,0.0,4078.77570478245,1000.0,2078.77570478245,20625.72523130993,656.4704237,30259297.804085962
7913,0.0,2792.812833378451,0.0,2792.812833378451,1000.0,792.8128333784512,21388.72830215334,656.4704237,30259297.804085962
7914,0.0,1151.249451570726,0.0,1151.249451570726,151.24945157072216,-0.0,21388.72830215334,694.8674237,30259297.804085962
